n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
10,0.95,0.5,0.2,200,10,0.6903,0.6460,0.0000,0.0000,1.2191,2.0000,0.1405,0.3060,0.0257
10,0.95,0.5,0.3,200,10,0.7224,0.6810,0.0000,0.0000,1.2118,2.0000,0.1480,0.2969,0.0232
10,0.95,0.5,0.4,200,10,0.7519,0.7178,0.0000,0.0000,1.2010,2.0000,0.1485,0.2924,0.0253
10,0.95,0.5,0.5,200,10,0.7756,0.7394,0.0000,0.0000,1.1784,2.0000,0.1440,0.2961,0.0223
10,0.95,0.5,0.6,200,10,0.7957,0.7658,0.0166,0.0000,1.2253,2.0000,0.1450,0.2906,0.0245
10,0.95,0.5,0.7,200,10,0.8146,0.7836,0.1121,0.0000,1.2000,2.0000,0.1290,0.3134,0.0203
10,0.95,0.5,0.8,200,10,0.8315,0.8068,0.1623,0.0000,1.2312,2.0000,0.1425,0.3003,0.0246
10,0.95,0.5,0.9,200,10,0.8447,0.8244,0.2526,0.0711,1.2326,2.0000,0.1370,0.3048,0.0263
10,0.95,0.5,1,200,10,0.8622,0.8409,0.3222,0.1562,1.2323,2.0000,0.1315,0.3253,0.0253
10,0.95,0.1,0.8,200,10,0.6905,0.6258,0.0000,0.0000,1.1623,2.0000,0.0724,0.2340,0.0248
10,0.95,0.2,0.8,200,10,0.7507,0.7079,0.0000,0.0000,1.2189,2.0000,0.1135,0.2865,0.0285
10,0.95,0.3,0.8,200,10,0.7885,0.7556,0.0000,0.0000,1.2084,2.0000,0.1290,0.2956,0.0225
10,0.95,0.4,0.8,200,10,0.8139,0.7872,0.0496,0.0000,1.2232,2.0000,0.1365,0.2913,0.0186
10,0.95,0.6,0.8,200,10,0.8454,0.8241,0.2573,0.0822,1.2209,2.0000,0.1390,0.2938,0.0269
10,0.95,0.7,0.8,200,10,0.8588,0.8360,0.3231,0.1644,1.2506,2.0000,0.1510,0.2786,0.0271
10,0.95,0.8,0.8,200,10,0.8627,0.8466,0.3555,0.2399,1.2107,2.0000,0.1345,0.2940,0.0225
10,0.95,0.9,0.8,200,10,0.8731,0.8556,0.3906,0.2586,1.2428,2.0000,0.1355,0.3117,0.0272
